nodes,10.000000,11.000000,12.000000,13.000000,14.000000,15.000000,16.000000,17.000000,19.000000,20.000000,22.000000,23.000000,25.000000,27.000000,28.000000,31.000000,33.000000,35.000000,38.000000,40.000000,43.000000,46.000000,50.000000,53.000000,57.000000,61.000000,66.000000,71.000000,76.000000,81.000000,87.000000,93.000000,100.000000,107.000000,115.000000,123.000000,132.000000,142.000000,152.000000,163.000000,175.000000,187.000000,201.000000,215.000000,231.000000,248.000000,266.000000,285.000000,305.000000,327.000000,351.000000,376.000000,404.000000,433.000000,464.000000,498.000000,534.000000,572.000000,614.000000,658.000000,705.000000,756.000000,811.000000,870.000000,933.000000,1000.000000,1072.000000,1150.000000,1233.000000,1322.000000,1417.000000,1520.000000,1630.000000,1748.000000,1874.000000,2009.000000,2154.000000,2310.000000,2477.000000,2656.000000,2848.000000,3054.000000,3275.000000,3511.000000,3765.000000,4037.000000,4329.000000,4642.000000,4977.000000,5337.000000,5722.000000,6136.000000,6579.000000,7055.000000,7565.000000,8111.000000,8697.000000,9326.000000,10000.000000
driver-CR1-237p-dec_payld-base-tx_power_mw,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000
driver-CR1-237p-dec_payld-base-attenuation_linear,5.129741e-16,5.129926e-16,5.129897e-16,5.129894e-16,5.129718e-16,5.129845e-16,5.129845e-16,5.129791e-16,5.129725e-16,5.129638e-16,5.129696e-16,5.129719e-16,5.129680e-16,5.129724e-16,5.129677e-16,5.129720e-16,5.129740e-16,5.129780e-16,5.129795e-16,5.129783e-16,5.129776e-16,5.129780e-16,5.129758e-16,5.129772e-16,5.129801e-16,5.129829e-16,5.129803e-16,5.129803e-16,5.129772e-16,5.129777e-16,5.129772e-16,5.129778e-16,5.129753e-16,5.129741e-16,5.129770e-16,5.129717e-16,5.129761e-16,5.129723e-16,5.129740e-16,5.129789e-16,5.129790e-16,5.129802e-16,5.129786e-16,5.129791e-16,5.129779e-16,5.129778e-16,5.129764e-16,5.129764e-16,5.129781e-16,5.129768e-16,5.129782e-16,5.129775e-16,5.129772e-16,5.129787e-16,5.129770e-16,5.129780e-16,5.129792e-16,5.129787e-16,5.129785e-16,5.129792e-16,5.129782e-16,5.129794e-16,5.129790e-16,5.129785e-16,5.129789e-16,5.129793e-16,5.129789e-16,5.129780e-16,5.129789e-16,5.129796e-16,5.129793e-16,5.129784e-16,5.129788e-16,5.129788e-16,5.129785e-16,5.129785e-16,5.129781e-16,5.129787e-16,5.129779e-16,5.129774e-16,5.129773e-16,5.129772e-16,5.129771e-16,5.129769e-16,5.129765e-16,5.129766e-16,5.129771e-16,5.129771e-16,5.129772e-16,5.129771e-16,5.129772e-16,5.129770e-16,5.129771e-16,5.129772e-16,5.129772e-16,5.129773e-16,5.129772e-16,5.129772e-16,5.129773e-16
driver-CR1-237p-dec_payld-base-attenuation_db,150.000000,150.000000,150.000000,150.000000,150.000000,150.000000,150.000000,150.000000,150.000000,150.000000,150.000000,150.000000,150.000000,150.000000,150.000000,150.000000,150.000000,150.000000,150.000000,150.000000,150.000000,150.000000,150.000000,150.000000,150.000000,150.000000,150.000000,150.000000,150.000000,150.000000,150.000000,150.000000,150.000000,150.000000,150.000000,150.000000,150.000000,150.000000,150.000000,150.000000,150.000000,150.000000,150.000000,150.000000,150.000000,150.000000,150.000000,150.000000,150.000000,150.000000,150.000000,150.000000,150.000000,150.000000,150.000000,150.000000,150.000000,150.000000,150.000000,150.000000,150.000000,150.000000,150.000000,150.000000,150.000000,150.000000,150.000000,150.000000,150.000000,150.000000,150.000000,150.000000,150.000000,150.000000,150.000000,150.000000,150.000000,150.000000,150.000000,150.000000,150.000000,150.000000,150.000000,150.000000,150.000000,150.000000,150.000000,150.000000,150.000000,150.000000,150.000000,150.000000,150.000000,150.000000,150.000000,150.000000,150.000000,150.000000,150.000000
driver-CR1-237p-dec_payld-base-rx_power_mw,1.659952e-10,1.660012e-10,1.660002e-10,1.660001e-10,1.659944e-10,1.659985e-10,1.659985e-10,1.659968e-10,1.659947e-10,1.659918e-10,1.659937e-10,1.659944e-10,1.659932e-10,1.659946e-10,1.659931e-10,1.659945e-10,1.659951e-10,1.659964e-10,1.659969e-10,1.659965e-10,1.659963e-10,1.659964e-10,1.659957e-10,1.659962e-10,1.659971e-10,1.659980e-10,1.659972e-10,1.659972e-10,1.659962e-10,1.659963e-10,1.659962e-10,1.659964e-10,1.659955e-10,1.659952e-10,1.659961e-10,1.659944e-10,1.659958e-10,1.659946e-10,1.659951e-10,1.659967e-10,1.659967e-10,1.659971e-10,1.659966e-10,1.659968e-10,1.659964e-10,1.659964e-10,1.659959e-10,1.659959e-10,1.659965e-10,1.659960e-10,1.659965e-10,1.659963e-10,1.659962e-10,1.659966e-10,1.659961e-10,1.659964e-10,1.659968e-10,1.659966e-10,1.659966e-10,1.659968e-10,1.659965e-10,1.659969e-10,1.659968e-10,1.659966e-10,1.659967e-10,1.659968e-10,1.659967e-10,1.659964e-10,1.659967e-10,1.659969e-10,1.659968e-10,1.659966e-10,1.659967e-10,1.659967e-10,1.659966e-10,1.659966e-10,1.659965e-10,1.659967e-10,1.659964e-10,1.659962e-10,1.659962e-10,1.659962e-10,1.659961e-10,1.659961e-10,1.659960e-10,1.659960e-10,1.659961e-10,1.659961e-10,1.659962e-10,1.659961e-10,1.659962e-10,1.659961e-10,1.659961e-10,1.659962e-10,1.659962e-10,1.659962e-10,1.659962e-10,1.659962e-10,1.659962e-10
driver-CR1-237p-dec_payld-base-rx_power_dbm,-97.799046,-97.798889,-97.798914,-97.798916,-97.799065,-97.798957,-97.798957,-97.799003,-97.799059,-97.799133,-97.799084,-97.799065,-97.799097,-97.799060,-97.799100,-97.799063,-97.799046,-97.799013,-97.799000,-97.799010,-97.799016,-97.799013,-97.799031,-97.799020,-97.798995,-97.798972,-97.798993,-97.798993,-97.799019,-97.799015,-97.799019,-97.799014,-97.799036,-97.799046,-97.799021,-97.799066,-97.799029,-97.799061,-97.799046,-97.799005,-97.799004,-97.798994,-97.799007,-97.799003,-97.799013,-97.799014,-97.799026,-97.799026,-97.799012,-97.799023,-97.799011,-97.799017,-97.799019,-97.799007,-97.799021,-97.799013,-97.799002,-97.799007,-97.799008,-97.799002,-97.799011,-97.799000,-97.799004,-97.799008,-97.799005,-97.799002,-97.799005,-97.799012,-97.799005,-97.798999,-97.799002,-97.799009,-97.799006,-97.799006,-97.799008,-97.799009,-97.799012,-97.799006,-97.799014,-97.799018,-97.799019,-97.799019,-97.799020,-97.799022,-97.799025,-97.799025,-97.799021,-97.799021,-97.799019,-97.799020,-97.799019,-97.799021,-97.799020,-97.799020,-97.799019,-97.799018,-97.799019,-97.799019,-97.799019
driver-CR1-237p-dec_payld-base-noise_power_mw,9.642282e-12,9.641954e-12,9.642325e-12,9.642287e-12,9.642334e-12,9.642189e-12,9.642296e-12,9.642445e-12,9.642356e-12,9.642327e-12,9.642299e-12,9.642244e-12,9.642034e-12,9.642406e-12,9.642108e-12,9.642020e-12,9.642913e-12,9.642639e-12,9.642371e-12,9.642390e-12,9.642511e-12,9.641845e-12,9.642157e-12,9.642216e-12,9.642395e-12,9.642239e-12,9.642752e-12,9.642351e-12,9.642155e-12,9.642356e-12,9.642466e-12,9.642443e-12,9.642438e-12,9.642465e-12,9.642366e-12,9.642558e-12,9.642286e-12,9.642467e-12,9.642501e-12,9.642303e-12,9.642107e-12,9.642280e-12,9.642415e-12,9.642066e-12,9.642237e-12,9.642018e-12,9.642155e-12,9.642359e-12,9.642201e-12,9.642456e-12,9.642080e-12,9.642194e-12,9.642223e-12,9.641983e-12,9.642517e-12,9.642150e-12,9.642016e-12,9.642508e-12,9.642245e-12,9.642636e-12,9.642435e-12,9.642295e-12,9.642470e-12,9.642459e-12,9.642414e-12,9.642112e-12,9.642416e-12,9.642176e-12,9.642284e-12,9.642734e-12,9.642246e-12,9.642769e-12,9.642739e-12,9.641932e-12,9.642398e-12,9.642536e-12,9.642053e-12,9.642155e-12,9.643008e-12,9.642613e-12,9.642610e-12,9.642444e-12,9.642059e-12,9.642150e-12,9.642578e-12,9.642510e-12,9.642079e-12,9.642615e-12,9.642462e-12,9.642055e-12,9.642489e-12,9.642164e-12,9.641989e-12,9.642198e-12,9.642359e-12,9.642404e-12,9.641967e-12,9.642249e-12,9.641852e-12
driver-CR1-237p-dec_payld-base-total_power_mw,1.756850e-10,1.756423e-10,1.757068e-10,1.756978e-10,1.755924e-10,1.756064e-10,1.756955e-10,1.757242e-10,1.787428e-10,1.756188e-10,1.756053e-10,1.755702e-10,1.757433e-10,1.756132e-10,1.756451e-10,1.756343e-10,1.773778e-10,1.756587e-10,1.772085e-10,1.756578e-10,1.756137e-10,1.756561e-10,1.770352e-10,1.777064e-10,1.770979e-10,1.756782e-10,1.782904e-10,1.766235e-10,1.767066e-10,1.757525e-10,1.759185e-10,1.763617e-10,1.763366e-10,1.763553e-10,1.776994e-10,1.775697e-10,1.774347e-10,1.761785e-10,1.774397e-10,1.786231e-10,1.769731e-10,1.776537e-10,1.776972e-10,1.806682e-10,1.772893e-10,1.820108e-10,1.787319e-10,1.815116e-10,1.809228e-10,1.794961e-10,1.808017e-10,1.796541e-10,1.810517e-10,1.819217e-10,1.843813e-10,1.819500e-10,1.844590e-10,1.850508e-10,1.849356e-10,1.848366e-10,1.843704e-10,1.853986e-10,1.875138e-10,1.866453e-10,1.874347e-10,1.901699e-10,1.911693e-10,1.920467e-10,1.939133e-10,1.933279e-10,1.958397e-10,1.971616e-10,1.967484e-10,1.999645e-10,2.022719e-10,2.015420e-10,2.082150e-10,2.086148e-10,2.098952e-10,2.157138e-10,2.168579e-10,2.177731e-10,2.221392e-10,2.246106e-10,2.289695e-10,2.322145e-10,2.368782e-10,2.418518e-10,2.451652e-10,2.489184e-10,2.595232e-10,2.621537e-10,2.723021e-10,2.745875e-10,2.835211e-10,2.917151e-10,3.043634e-10,3.075581e-10,3.194095e-10
driver-CR1-237p-dec_payld-base-interference_mw,1.372610e-13,1.002587e-13,1.646134e-13,1.332962e-13,9.066237e-14,6.991488e-14,1.207711e-13,1.522482e-13,3.234335e-12,8.658256e-14,7.424462e-14,8.366294e-14,1.782331e-13,9.231261e-14,1.117876e-13,1.272217e-13,1.876459e-12,1.271875e-13,1.660184e-12,1.071557e-13,8.068275e-14,1.295295e-13,1.499856e-12,2.140447e-12,1.559169e-12,1.224433e-13,2.773151e-12,1.098065e-12,1.191547e-12,2.274121e-13,3.969595e-13,8.533304e-13,8.128710e-13,7.947760e-13,2.167476e-12,2.027879e-12,1.904927e-12,6.315507e-13,1.908608e-12,3.073434e-12,1.454453e-12,2.113314e-12,2.153288e-12,5.123008e-12,1.760357e-12,6.473364e-12,3.196630e-12,5.966242e-12,5.383442e-12,3.947996e-12,5.264535e-12,4.112882e-12,5.500349e-12,6.373606e-12,8.826390e-12,6.408571e-12,8.911594e-12,9.519485e-12,9.394716e-12,9.291477e-12,8.827087e-12,9.845971e-12,1.195846e-11,1.110575e-11,1.188235e-11,1.461914e-11,1.561317e-11,1.649247e-11,1.834706e-11,1.777524e-11,2.027407e-11,2.160121e-11,2.118161e-11,2.439723e-11,2.670341e-11,2.597559e-11,3.264788e-11,3.304006e-11,3.432181e-11,4.013175e-11,4.127208e-11,4.219330e-11,4.655515e-11,4.902251e-11,5.338004e-11,5.662181e-11,6.128190e-11,6.625220e-11,6.956126e-11,7.331658e-11,8.391750e-11,8.654581e-11,9.669162e-11,9.897514e-11,1.079066e-10,1.160983e-10,1.287430e-10,1.319376e-10,1.437871e-10
driver-CR1-237p-dec_payld-base-snr_db,12.359156,12.359461,12.359269,12.359283,12.359113,12.359286,12.359238,12.359125,12.359110,12.359048,12.359110,12.359154,12.359216,12.359086,12.359180,12.359256,12.358871,12.359028,12.359162,12.359143,12.359083,12.359386,12.359227,12.359212,12.359156,12.359250,12.358997,12.359178,12.359240,12.359153,12.359100,12.359115,12.359096,12.359074,12.359143,12.359012,12.359171,12.359058,12.359057,12.359187,12.359276,12.359209,12.359135,12.359296,12.359209,12.359306,12.359233,12.359141,12.359227,12.359101,12.359282,12.359225,12.359209,12.359329,12.359074,12.359249,12.359319,12.359093,12.359210,12.359040,12.359122,12.359195,12.359113,12.359114,12.359138,12.359277,12.359136,12.359237,12.359196,12.358999,12.359216,12.358974,12.358990,12.359354,12.359141,12.359079,12.359293,12.359252,12.358861,12.359035,12.359035,12.359109,12.359282,12.359239,12.359043,12.359074,12.359272,12.359031,12.359101,12.359284,12.359089,12.359234,12.359313,12.359220,12.359148,12.359128,12.359325,12.359197,12.359377
